,Dates,variable,value
319,1992-04-15,PCA1,0.6862683687400092
320,1992-04-16,PCA1,0.6822055753176975
321,1992-04-17,PCA1,0.6686833594311731
322,1992-04-20,PCA1,0.6692849291279955
323,1992-04-21,PCA1,0.6728610998369566
324,1992-04-22,PCA1,0.6718010045392039
325,1992-04-23,PCA1,0.6720801592181853
326,1992-04-24,PCA1,0.6780509861664796
327,1992-04-27,PCA1,0.6731707323045726
328,1992-04-28,PCA1,0.6725031221257487
329,1992-04-29,PCA1,0.6728846408618643
330,1992-04-30,PCA1,0.6765561962773886
331,1992-05-01,PCA1,0.6717785969497783
332,1992-05-04,PCA1,0.6729354997847268
333,1992-05-05,PCA1,0.6726918992288098
334,1992-05-06,PCA1,0.6715335817659023
335,1992-05-07,PCA1,0.6812899282002508
336,1992-05-08,PCA1,0.6776576193960665
337,1992-05-11,PCA1,0.6755764557081637
338,1992-05-12,PCA1,0.6729558843814178
339,1992-05-13,PCA1,0.6674027494807975
340,1992-05-14,PCA1,0.6651048586543866
341,1992-05-15,PCA1,0.6609542783646484
342,1992-05-18,PCA1,0.6708335987245557
343,1992-05-19,PCA1,0.6834268820824182
344,1992-05-20,PCA1,0.6850720052177972
345,1992-05-21,PCA1,0.6867988564757794
346,1992-05-22,PCA1,0.6880420968750518
347,1992-05-25,PCA1,0.6895000184588322
348,1992-05-26,PCA1,0.6943287006124578
349,1992-05-27,PCA1,0.6896806262758521
350,1992-05-28,PCA1,0.6913295802578703
351,1992-05-29,PCA1,0.688811550809788
352,1992-06-01,PCA1,0.6910911465066243
353,1992-06-02,PCA1,0.6900701923498458
354,1992-06-03,PCA1,0.6905201205978657
355,1992-06-04,PCA1,0.6858309581443008
356,1992-06-05,PCA1,0.6876607044734809
357,1992-06-08,PCA1,0.6872496470107475
358,1992-06-09,PCA1,0.6866483321612401
359,1992-06-10,PCA1,0.6914995011780602
360,1992-06-11,PCA1,0.6939692151975874
361,1992-06-12,PCA1,0.6956083715215154
362,1992-06-15,PCA1,0.6921906218120153
363,1992-06-16,PCA1,0.6942614371368072
364,1992-06-17,PCA1,0.694358823934024
365,1992-06-18,PCA1,0.7016427901128964
366,1992-06-19,PCA1,0.7054843733531732
367,1992-06-22,PCA1,0.7079884476247573
368,1992-06-23,PCA1,0.7091083217219419
369,1992-06-24,PCA1,0.7087460761436831
370,1992-06-25,PCA1,0.6970253677056147
371,1992-06-26,PCA1,0.6996071359959997
372,1992-06-29,PCA1,0.7061373876043753
373,1992-06-30,PCA1,0.7012196213063776
374,1992-07-01,PCA1,0.6890102199144162
375,1992-07-02,PCA1,0.6857996506811629
376,1992-07-03,PCA1,0.697861483205679
377,1992-07-06,PCA1,0.6369176761464459
378,1992-07-07,PCA1,0.6355056344824696
379,1992-07-08,PCA1,0.624639826402376
380,1992-07-09,PCA1,0.6118490828291566
381,1992-07-10,PCA1,0.6248959576270016
382,1992-07-13,PCA1,0.6181446400431246
383,1992-07-14,PCA1,0.61187632640694
384,1992-07-15,PCA1,0.6117574027661027
385,1992-07-16,PCA1,0.6176246882410494
386,1992-07-17,PCA1,0.609426985152923
387,1992-07-20,PCA1,0.6195858324926209
388,1992-07-21,PCA1,0.6486165162008485
389,1992-07-22,PCA1,0.6500430143865142
390,1992-07-23,PCA1,0.665627049792239
391,1992-07-24,PCA1,0.6746527434471381
392,1992-07-27,PCA1,0.6846355731221943
393,1992-07-28,PCA1,0.6819527843988259
394,1992-07-29,PCA1,0.6850878558769802
395,1992-07-30,PCA1,0.6763642370668825
396,1992-07-31,PCA1,0.6788098212020047
397,1992-08-03,PCA1,0.6788824654784992
398,1992-08-04,PCA1,0.6750872452186206
399,1992-08-05,PCA1,0.6832144692505069
400,1992-08-06,PCA1,0.6845125377953716
401,1992-08-07,PCA1,0.6911843445941623
402,1992-08-10,PCA1,0.678300507090612
403,1992-08-11,PCA1,0.6634342384603973
404,1992-08-12,PCA1,0.6623225613357142
405,1992-08-13,PCA1,0.6625349778087869
406,1992-08-14,PCA1,0.6632683565919754
407,1992-08-17,PCA1,0.6673400760781457
408,1992-08-18,PCA1,0.6679437807134756
409,1992-08-19,PCA1,0.6817230180035732
410,1992-08-20,PCA1,0.6758362105316748
411,1992-08-21,PCA1,0.6835128683938108
412,1992-08-24,PCA1,0.7142015300178137
413,1992-08-25,PCA1,0.688895957869201
414,1992-08-26,PCA1,0.6962907008752576
415,1992-08-27,PCA1,0.6950730170287159
416,1992-08-28,PCA1,0.7164427342178595
417,1992-08-31,PCA1,0.7171268754415967
418,1992-09-01,PCA1,0.7051401508448458
419,1992-09-02,PCA1,0.696971852618603
420,1992-09-03,PCA1,0.6965955075391497
421,1992-09-04,PCA1,0.7003181430420541
422,1992-09-07,PCA1,0.6986355290445766
423,1992-09-08,PCA1,0.6986418311693199
424,1992-09-09,PCA1,0.7011639892083946
425,1992-09-10,PCA1,0.694526974005119
426,1992-09-11,PCA1,0.6876891780755384
427,1992-09-14,PCA1,0.6931523582739055
428,1992-09-15,PCA1,0.6958408420124184
429,1992-09-16,PCA1,0.7011352485779312
430,1992-09-17,PCA1,0.7079510958649992
431,1992-09-18,PCA1,0.709855741344603
432,1992-09-21,PCA1,0.7074303989500725
433,1992-09-22,PCA1,0.7095582490710051
434,1992-09-23,PCA1,0.7088001197394446
435,1992-09-24,PCA1,0.704605549582713
436,1992-09-25,PCA1,0.7020009178317583
437,1992-09-28,PCA1,0.6986240147186197
438,1992-09-29,PCA1,0.6996143788402697
439,1992-09-30,PCA1,0.6943579537512915
440,1992-10-01,PCA1,0.6911732722840029
441,1992-10-02,PCA1,0.6909426952089464
442,1992-10-05,PCA1,0.6954291420939342
443,1992-10-06,PCA1,0.6968196306611268
444,1992-10-07,PCA1,0.6963238295624208
445,1992-10-08,PCA1,0.6964254055415489
446,1992-10-09,PCA1,0.6928800530148608
447,1992-10-12,PCA1,0.6904072502650742
448,1992-10-13,PCA1,0.6828704470533153
449,1992-10-14,PCA1,0.6844573164714356
450,1992-10-15,PCA1,0.6745578564865109
451,1992-10-16,PCA1,0.6677698154184637
452,1992-10-19,PCA1,0.662880120767213
453,1992-10-20,PCA1,0.6651318077625732
454,1992-10-21,PCA1,0.6644683328549873
455,1992-10-22,PCA1,0.6663740764844103
456,1992-10-23,PCA1,0.662921460059662
457,1992-10-26,PCA1,0.6581500609511222
458,1992-10-27,PCA1,0.6575398612083438
459,1992-10-28,PCA1,0.6592241053589947
460,1992-10-29,PCA1,0.661152657681386
461,1992-10-30,PCA1,0.6601514473504985
462,1992-11-02,PCA1,0.6506473818027197
463,1992-11-03,PCA1,0.6424266470338752
464,1992-11-04,PCA1,0.6383389097671135
465,1992-11-05,PCA1,0.6364287666610573
466,1992-11-06,PCA1,0.6366630507080341
467,1992-11-09,PCA1,0.6362374599990642
468,1992-11-10,PCA1,0.6389324068535477
469,1992-11-11,PCA1,0.6319929348517284
470,1992-11-12,PCA1,0.6302129575279023
471,1992-11-13,PCA1,0.6202261514247325
472,1992-11-16,PCA1,0.5769378523213783
473,1992-11-17,PCA1,0.6002894074975866
474,1992-11-18,PCA1,0.5949434859370151
475,1992-11-19,PCA1,0.6201965159978811
476,1992-11-20,PCA1,0.5908861503731399
477,1992-11-23,PCA1,0.5862720646071428
478,1992-11-24,PCA1,0.5975816518670801
479,1992-11-25,PCA1,0.6147731641483615
480,1992-11-26,PCA1,0.6159730482759121
481,1992-11-27,PCA1,0.6059082725817606
482,1992-11-30,PCA1,0.6053201079512847
483,1992-12-01,PCA1,0.6056493804158598
484,1992-12-02,PCA1,0.5998865534224521
485,1992-12-03,PCA1,0.6016189439531846
486,1992-12-04,PCA1,0.5987522522268444
487,1992-12-07,PCA1,0.5744170558819268
488,1992-12-08,PCA1,0.5663609546475137
489,1992-12-09,PCA1,0.5567401943572974
490,1992-12-10,PCA1,0.5380189169663094
491,1992-12-11,PCA1,0.5116934210899671
492,1992-12-14,PCA1,0.5095384209964485
493,1992-12-15,PCA1,0.5111236946508578
494,1992-12-16,PCA1,0.5096053744598239
495,1992-12-17,PCA1,0.506248491065768
496,1992-12-18,PCA1,0.5076199287482168
497,1992-12-21,PCA1,0.5194943549508232
498,1992-12-22,PCA1,0.5205135219549142
499,1992-12-23,PCA1,0.5267270937064891
500,1992-12-24,PCA1,0.5275389249879885
501,1992-12-25,PCA1,0.5278363600312748
502,1992-12-28,PCA1,0.5265577921180544
503,1992-12-29,PCA1,0.5053116169214276
504,1992-12-30,PCA1,0.5062610982305451
505,1992-12-31,PCA1,0.5079955676703819
506,1993-01-01,PCA1,0.5141659135728628
507,1993-01-04,PCA1,0.509955540047331
508,1993-01-05,PCA1,0.4904041958272842
509,1993-01-06,PCA1,0.474639184915288
510,1993-01-07,PCA1,0.4764663614894183
511,1993-01-08,PCA1,0.4868635491022431
512,1993-01-11,PCA1,0.48991577687515914
513,1993-01-12,PCA1,0.4879011709544607
514,1993-01-13,PCA1,0.4944863460335191
515,1993-01-14,PCA1,0.49194128888619365
516,1993-01-15,PCA1,0.48659079402061184
517,1993-01-18,PCA1,0.48700832607756844
518,1993-01-19,PCA1,0.48031023302587145
519,1993-01-20,PCA1,0.4615390565033782
520,1993-01-21,PCA1,0.4599153428437048
521,1993-01-22,PCA1,0.46178291481991146
522,1993-01-25,PCA1,0.4726394837311711
523,1993-01-26,PCA1,0.4663445141738192
524,1993-01-27,PCA1,0.46669444653588166
525,1993-01-28,PCA1,0.47072742188491246
526,1993-01-29,PCA1,0.4829238778901442
527,1993-02-01,PCA1,0.4869816906047955
528,1993-02-02,PCA1,0.47827212907536387
529,1993-02-03,PCA1,0.4739745716632345
530,1993-02-04,PCA1,0.48400402792809927
531,1993-02-05,PCA1,0.4777267057793036
532,1993-02-08,PCA1,0.46889511714418997
533,1993-02-09,PCA1,0.46723677024771926
534,1993-02-10,PCA1,0.4654717752206756
535,1993-02-11,PCA1,0.38914027358803666
536,1993-02-12,PCA1,0.3878764179129637
537,1993-02-15,PCA1,0.39412973648301197
538,1993-02-16,PCA1,0.39579016463700556
539,1993-02-17,PCA1,0.3968156077867455
540,1993-02-18,PCA1,0.3891127088625654
541,1993-02-19,PCA1,0.38538899877318894
542,1993-02-22,PCA1,0.36304153004389494
543,1993-02-23,PCA1,0.3318873729341997
544,1993-02-24,PCA1,0.3339550597637764
545,1993-02-25,PCA1,0.32209561941926396
546,1993-02-26,PCA1,0.3234579042858276
547,1993-03-01,PCA1,0.3208596031131067
548,1993-03-02,PCA1,0.3039141535851588
549,1993-03-03,PCA1,0.31723835381445636
550,1993-03-04,PCA1,0.32072295323357886
551,1993-03-05,PCA1,0.3280660643676351
552,1993-03-08,PCA1,0.32704427826193644
553,1993-03-09,PCA1,0.4389274369858985
554,1993-03-10,PCA1,0.440620697253446
555,1993-03-11,PCA1,0.43627437449958306
556,1993-03-12,PCA1,0.4338266468699667
557,1993-03-15,PCA1,0.4241702287899614
558,1993-03-16,PCA1,0.4225446051474617
559,1993-03-17,PCA1,0.42464486452927896
560,1993-03-18,PCA1,0.41990774156087757
561,1993-03-19,PCA1,0.4673832788097522
562,1993-03-22,PCA1,0.4626477800438689
563,1993-03-23,PCA1,0.46026587653464457
564,1993-03-24,PCA1,0.46115682897883004
565,1993-03-25,PCA1,0.4608552178937536
566,1993-03-26,PCA1,0.46829335384347004
567,1993-03-29,PCA1,0.4596975326321902
